子弹笔记,https://img2.doubanio.com/view/subject/l/public/s29939981.jpg
山居杂忆（插图精装版）,https://img1.doubanio.com/view/subject/l/public/s28348928.jpg
工作、消费主义和新穷人,https://img9.doubanio.com/view/subject/l/public/s34008354.jpg
平凡的世界,https://img9.doubanio.com/view/subject/l/public/s8865866.jpg
幻想三国志,https://img3.doubanio.com/view/subject/l/public/s1824172.jpg
愤怒的葡萄,https://img9.doubanio.com/view/subject/l/public/s32320755.jpg
我与地坛,https://img1.doubanio.com/view/subject/l/public/s29778139.jpg
我与地坛,https://img1.doubanio.com/view/subject/l/public/s4594868.jpg
我辈孤雏,https://img3.doubanio.com/view/subject/l/public/s34664523.jpg
战后日本经济史,https://img9.doubanio.com/view/subject/l/public/s29714465.jpg
拿下Offer:数据分析师求职面试指南点,https://img3.doubanio.com/view/subject/l/public/s33686032.jpg
掌控习惯,https://img9.doubanio.com/view/subject/l/public/s33565235.jpg
撒马尔罕的荣光,https://img9.doubanio.com/view/subject/l/public/s34725835.jpg
数据中台：让数据用起来,https://img1.doubanio.com/view/subject/l/public/s33964379.jpg
斯通纳,https://img2.doubanio.com/view/subject/l/public/s28332051.jpg
无可慰藉,https://img1.doubanio.com/view/subject/l/public/s34664518.jpg
日本的现代神话,https://img1.doubanio.com/view/subject/l/public/s34550539.jpg
明朝那些事儿(增补版)(套装共9册),https://img2.doubanio.com/view/subject/l/public/s29531871.jpg
未来算法,https://img1.doubanio.com/view/subject/l/public/s33923520.jpg
沙丘,https://img3.doubanio.com/view/subject/l/public/s33975267.jpg
活着,https://img1.doubanio.com/view/subject/l/public/s29652928.jpg
浮世画家,https://img2.doubanio.com/view/subject/l/public/s34664521.jpg
浮木,https://img9.doubanio.com/view/subject/l/public/s33921954.jpg
海伯利安四部曲,https://img9.doubanio.com/view/subject/l/public/s29536494.jpg
消失的13级台阶,https://img1.doubanio.com/view/subject/l/public/s34070178.jpg
源泉,https://img9.doubanio.com/view/subject/l/public/s26919835.jpg
焦虑的人,https://img2.doubanio.com/view/subject/l/public/s33951431.jpg
百年孤独,https://img1.doubanio.com/view/subject/l/public/s27237850.jpg
睡眠革命,https://img3.doubanio.com/view/subject/l/public/s29437927.jpg
